Lexical item;Level;Topic;Subtopic
Pelo;A1-A2;Individuo: dimensión física;Partes del cuerpo
Hacer ejercicio;A1-A2;Individuo: dimensión física;Acciones y posiciones que se realizan con el cuerpo
Rstar triste;A1-A2;Individuo: dimensión perceptiva y anímica;Sentimientos y estados de ánimo
Tener calor;A1-A2;Individuo: dimensión perceptiva y anímica;Sensaciones y percepciones físicas
Soltero;A1-A2;Identidad personal;Datos personales
Escuela de idiomas;A1-A2;Educación;Centros e instituciones educativas
Escuchar la radio;A1-A2;Ocio;Tiempo libre y entretenimiento
Navegar por Internet;A1-A2;Información y medios de comunicación;Internet
Aire acondicionado;A1-A2;Vivienda;Características de la vivienda
Castillo;A1-A2;Geografía y naturaleza;Espacios urbanos o rústicos
Tener tiempo libre;B1;Ocio;Tiempo libre y entretenimiento
Contestador automático;B1;Información y medios de comunicación;Teléfono
Portero;B1;Vivienda;Características de la vivienda
Quemadura;B1;Salud e higiene;Heridas y traumatismos
Zapatilla;B1;Salud e higiene;Higiene
Recepcionista;B1;"Viajes; alojamiento y transporte";Alojamiento
Pagar en metálico;B1;Economía e industria;Comercio
Biólogo;B1;Ciencia y tecnología;Biología
Congreso;B1;"Gobierno; política y sociedad";Política y gobierno
Sacar una foto;B1;Actividades artísticas;Fotografía
Salir de fiesta ;B2;Ocio;Tiempo libre y entretenimiento
Llamar a cobro revertido;B2;Información y medios de comunicación;Teléfono
Bombilla;B2;Vivienda;Objetos domésticos
Tener ansiedad;B2;Salud e higiene;Síntomas
Colorete;B2;Salud e higiene;Estética
Poner el intermitente;B2;"Viajes; alojamiento y transporte";Sistema de transporte
Accionista;B2;Economía e industria;Finanzas y bolsa
Microscopio;B2;Ciencia y tecnología;Física y química
Cometer un delito;B2;"Gobierno; política y sociedad";Ley y justicia
Impacto medioambiental;B2;Geografía y naturaleza;Problemas medioambientales y desastres naturales
